hit_id,worker_id,image_url,seen,prompt,type_test,emot0,emot1,emot2,pers0,pers1,pers2,phys0,phys1,phys2
3W0KKJIARRQ7A0WKVRRU0KTD80IK8O,A2W264E55JO6V3,https://vignette.wikia.nocookie.net/marveldatabase/images/5/59/Spider-Woman_Vol_5_5_Anka_Variant_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20150115004418,FALSE,bleater,bleater,chill,calm,cool,cool,brave,bold,slim,masked,
3W0KKJIARRQ7A0WKVRRU0KTD80IK8O,A2Y5XC6F1BYXS3,https://vignette.wikia.nocookie.net/marveldatabase/images/5/59/Spider-Woman_Vol_5_5_Anka_Variant_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20150115004418,FALSE,bleater,bleater,,,,angry,evil,fast,glowing,skinny,red
3SNR5F7R92AXD6GN8RSIFEAMRZREI6,A2Y5XC6F1BYXS3,https://vignette.wikia.nocookie.net/marveldatabase/images/d/d4/Roberto_da_Costa_%28Earth-616%29_from_New_Avengers_Vol_4_17_001.jpg/revision/latest/scale-to-width-down/325?cb=20161202234511,FALSE,effendi,effendi,,,,evil,cool,,upset,professional,drinking
3I7KR83SNAU7O5FU0JX80GOOS60K9D,A2Y5XC6F1BYXS3,https://vignette.wikia.nocookie.net/marveldatabase/images/0/0e/Rahne_Sinclair_%28Earth-616%29_from_New_Mutants_Dead_Souls_Vol_1_1_002.jpg/revision/latest/scale-to-width-down/228?cb=20180513024327,FALSE,snoozer,snoozer,,,,angry,wild,vengeful,muscular,yellow,
3I7KR83SNAU7O5FU0JX80GOOS60K9D,AVR45JLAQN5ZC,https://vignette.wikia.nocookie.net/marveldatabase/images/0/0e/Rahne_Sinclair_%28Earth-616%29_from_New_Mutants_Dead_Souls_Vol_1_1_002.jpg/revision/latest/scale-to-width-down/228?cb=20180513024327,FALSE,snoozer,snoozer,angry,horrifying,vicious,angry,cruel,vicious,strong,red,furry
3DTJ4WT8BDWJ8W5X8VG4F9DCNCTEZ3,A2W264E55JO6V3,https://vignette.wikia.nocookie.net/marveldatabase/images/6/69/X-Men_Blue_Vol_1_9_Textless.jpg/revision/latest/scale-to-width-down/330?cb=20170523171808,FALSE,zebrula,zebrula,power,,,bold,mighty,powerful,glowing,floating,green
3DTJ4WT8BDWJ8W5X8VG4F9DCNCTEZ3,A2ZBF21EY9RUNX,https://vignette.wikia.nocookie.net/marveldatabase/images/6/69/X-Men_Blue_Vol_1_9_Textless.jpg/revision/latest/scale-to-width-down/330?cb=20170523171808,FALSE,zebrula,zebrula,power,,,magical,powerful,serious,tall,green,
3FDWKV9VCNJ0YL30J65FBP36UW5MUB,A2C1UPBEGUY9Y6,https://vignette.wikia.nocookie.net/marveldatabase/images/e/e7/Journey_into_Mystery_Vol_1_650_Acuna_Variant_Textless.jpg/revision/latest/scale-to-width-down/333?cb=20130518043850,FALSE,uprisen,uprisen,grandiose,classic,hopeful,unafraid,noble,mythological,tall,skinny,red
3X55NP42EOXMKUNUW2165K71MOWP32,A21CNDWV70DK3G,https://vignette.wikia.nocookie.net/marveldatabase/images/b/b0/Generation_X_Vol_1_87_Textless.jpg/revision/latest/scale-to-width-down/327?cb=20180304215426,TRUE,kiangan,kiangan,excited,happy,,bright,happy,,bright,,
3PKJ68EHDND5SRRVGALOCIMZWU8HJ1,A2Y5XC6F1BYXS3,https://vignette.wikia.nocookie.net/marveldatabase/images/6/6a/Volstagg.jpg/revision/latest/scale-to-width-down/350?cb=20120704013300,FALSE,kebbies,kebbies,,,,joyful,strong,wild,large,round,red
3CO05SML7VMBFF4CQ7NC8H99KU0R01,ALPWT2JWPLXA1,https://vignette.wikia.nocookie.net/marveldatabase/images/a/aa/Balder_Odinson_%28Earth-616%29_from_Thor_Vol_3_9_001.jpg/revision/latest/scale-to-width-down/312?cb=20180816043315,FALSE,leptite,leptite,,,,rugged,tough,mature,arctic,warm,furry
3CO05SML7VMBFF4CQ7NC8H99KU0R01,A2Y5XC6F1BYXS3,https://vignette.wikia.nocookie.net/marveldatabase/images/a/aa/Balder_Odinson_%28Earth-616%29_from_Thor_Vol_3_9_001.jpg/revision/latest/scale-to-width-down/312?cb=20180816043315,FALSE,leptite,leptite,,,,sad,evil,cold,stout,purple,
3PEG1BH7AE8QCYURY3B4RMJEG63KBN,A2Y5XC6F1BYXS3,https://vignette.wikia.nocookie.net/marveldatabase/images/d/d1/Amazing_Spider-Man_Vol_5_12_Fantastic_Four_Villains_Variant_Textless.jpg/revision/latest/scale-to-width-down/333?cb=20181216083445,FALSE,asshead,asshead,,,,angry,vengeful,evil,muscular,large,horned
3PEG1BH7AE8QCYURY3B4RMJEG63KBN,A2W264E55JO6V3,https://vignette.wikia.nocookie.net/marveldatabase/images/d/d1/Amazing_Spider-Man_Vol_5_12_Fantastic_Four_Villains_Variant_Textless.jpg/revision/latest/scale-to-width-down/333?cb=20181216083445,TRUE,asshead,asshead,angry,heated,vengeful,mean,evil,scheming,old,purple,big
366FYU4PTG6OJ16B8UDUSUPZJ3GEKH,A3RQWVGJ1E0LLY,https://vignette.wikia.nocookie.net/marveldatabase/images/4/4f/Medusalith_Amaquelin_%28Earth-616%29_from_Royals_Vol_1_2_cover_001.jpg/revision/latest/scale-to-width-down/325?cb=20180124212817,FALSE,sealkie,sealkie,wrath,,,just,angry,fierce,strong,metal,red
366FYU4PTG6OJ16B8UDUSUPZJ3GEKH,ALPWT2JWPLXA1,https://vignette.wikia.nocookie.net/marveldatabase/images/4/4f/Medusalith_Amaquelin_%28Earth-616%29_from_Royals_Vol_1_2_cover_001.jpg/revision/latest/scale-to-width-down/325?cb=20180124212817,FALSE,sealkie,sealkie,,,,angry,evil,capable,sexy,evil,purple
3W31J70BASD9M3MXC37Z26PWYR3KCU,A2W264E55JO6V3,https://vignette.wikia.nocookie.net/marveldatabase/images/8/8a/Illyana_Rasputina_%28Earth-616%29_from_New_Mutants_Dead_Souls_Vol_1_1_Trading_Card_Variant_cover_001.jpg/revision/latest/scale-to-width-down/341?cb=20180408055433,FALSE,senatus,senatus,cool,happy,content,strong,brave,bold,strong,blonde,metallic
3W31J70BASD9M3MXC37Z26PWYR3KCU,A2Y5XC6F1BYXS3,https://vignette.wikia.nocookie.net/marveldatabase/images/8/8a/Illyana_Rasputina_%28Earth-616%29_from_New_Mutants_Dead_Souls_Vol_1_1_Trading_Card_Variant_cover_001.jpg/revision/latest/scale-to-width-down/341?cb=20180408055433,FALSE,senatus,senatus,,,,evil,quick,deadly,armed,white,shielded
3A3KKYU7P3YDQPS5E6KGTDO3FCGMWA,A2Y5XC6F1BYXS3,https://vignette.wikia.nocookie.net/marveldatabase/images/2/2b/Fandral_%28Earth-616%29.jpg/revision/latest/scale-to-width-down/350?cb=20110324231540,FALSE,restaff,restaff,,,,noble,bold,forward,sexy,green,
3A3KKYU7P3YDQPS5E6KGTDO3FCGMWA,A2C1UPBEGUY9Y6,https://vignette.wikia.nocookie.net/marveldatabase/images/2/2b/Fandral_%28Earth-616%29.jpg/revision/latest/scale-to-width-down/350?cb=20110324231540,FALSE,restaff,restaff,exaggerated,mysterious,brave,lion-hearted,protective,,strong,blonde,green
3UZUVSO3P7CJ9P6ET6QA77H388BEMM,A22DMI1VZNFU3N,https://vignette.wikia.nocookie.net/marveldatabase/images/5/54/Thomas_Raymond_%28Earth-616%29_from_All-New_Invaders_Vol_1_14_001.jpg/revision/latest/scale-to-width-down/285?cb=20150202060634,FALSE,datsuns,datsuns,helpless,insecure,,dark,evil,fearless,large,translucent,pink
3HJ1EVZS2O07W7399U5VAF7GN6KR3W,AUNCXP5YDEBH0,https://vignette.wikia.nocookie.net/marveldatabase/images/c/c6/Nova_Vol_4_36_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20120310084723,FALSE,hitcher,hitcher,powerful,cool,sick,fierce,cool,,slick,shiny,electric
3HJ1EVZS2O07W7399U5VAF7GN6KR3W,A2C1UPBEGUY9Y6,https://vignette.wikia.nocookie.net/marveldatabase/images/c/c6/Nova_Vol_4_36_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20120310084723,FALSE,hitcher,hitcher,inspiring,grandiose,unafraid,confident,noble,determined,strong,black,powerful
366FYU4PTG6OJ16B8UDUSUPZJ3GKEN,A21CNDWV70DK3G,https://vignette.wikia.nocookie.net/marvel_dc/images/0/09/Hal_Jordan_024.jpg/revision/latest/scale-to-width-down/333?cb=20130718162147,TRUE,rubbers,rubbers,excited,empowered,determined,strong-willed,powerful,determined,brunet,male,muscular
3087LXLJ6MXECPZ3ZCNIRSVQH6PF0U,A2N74CHUQ5T60G,https://vignette.wikia.nocookie.net/marvel_dc/images/2/25/Nightwing_0003.jpg/revision/latest/scale-to-width-down/341?cb=20100312103415,TRUE,catodon,catodon,dark,scared,powerful,strong,vigilant,quiet,muscular,mysterious,dark
35F6NGNVM802D5HOFVDGNBKEGT3T7G,A21CNDWV70DK3G,https://vignette.wikia.nocookie.net/marvel_dc/images/4/46/Aquaman_0003.jpg/revision/latest/scale-to-width-down/333?cb=20101225184959,TRUE,ketatin,ketatin,mad,,,angry,fierce,aggressive,blond,powerful,muscular
3X2YVV51PULGU06GLK1I9L00H1LW1C,A2Y5XC6F1BYXS3,https://vignette.wikia.nocookie.net/marvel_dc/images/c/c5/Red_Robin_0019.jpg/revision/latest/scale-to-width-down/325?cb=20111019113139,FALSE,degerms,degerms,,,,mysterious,silent,aggressive,muscular,masked,red
3X2YVV51PULGU06GLK1I9L00H1LW1C,APICU54PD3JZF,https://vignette.wikia.nocookie.net/marvel_dc/images/c/c5/Red_Robin_0019.jpg/revision/latest/scale-to-width-down/325?cb=20111019113139,FALSE,degerms,degerms,happy,scared,inspirational,protective,strong,fun,muscular,tall,lean
3RWB1RTQDJ48LRT08JW2W1FC2AOP8U,A155V4M8U8MP46,https://vignette.wikia.nocookie.net/marvel_dc/images/6/6f/Black_Canary_0003.jpg/revision/latest/scale-to-width-down/325?cb=20120209070457,FALSE,zebedee,zebedee,,,,engaging,seductive,powerful,green,feminine,sexual
3RWB1RTQDJ48LRT08JW2W1FC2AOP8U,A2Y5XC6F1BYXS3,https://vignette.wikia.nocookie.net/marvel_dc/images/6/6f/Black_Canary_0003.jpg/revision/latest/scale-to-width-down/325?cb=20120209070457,FALSE,zebedee,zebedee,,,,sadistic,evil,violent,blonde,speaking,stretching
